"code","source_url","expected_status","checked_at","http_status","reachable","error"
"ГОСТ Р 2.001-2023","https://protect.gost.ru/gost/details/edfb5cc2-2d7a-4024-ab8d-233b0aeed47b","Действует","2026-06-11T17:24:00.2248278Z","0","False","The operation has timed out."
"ГОСТ Р 2.104-2023","https://protect.gost.ru/gost/details/69d422a2-3c0e-4561-a521-0c99f9cf4417","Действует","2026-06-11T17:24:45.9881036Z","0","False","The operation has timed out."
"ГОСТ 2.301-68","https://protect.gost.ru/gost/details/aa681f87-ff49-4115-ad25-169e15d2af06","Действует","2026-06-11T17:25:31.7588010Z","0","False","The operation has timed out."
"ГОСТ 2.302-68","https://protect.gost.ru/gost/details/b8e1f82a-8ad2-4133-8c49-2570711b7e22","Действует","2026-06-11T17:26:17.5314407Z","0","False","The operation has timed out."
"ГОСТ 2.303-68","https://protect.gost.ru/gost/details/09645eb7-ee23-467a-a319-25b3112a7227","Действует","2026-06-11T17:27:03.3051552Z","0","False","The operation has timed out."
"ГОСТ 2.304-81","https://protect.gost.ru/gost/details/2acb3258-c28c-4e4a-b7ac-208043f2d95e","Действует","2026-06-11T17:27:49.0674995Z","0","False","The operation has timed out."
"ГОСТ 2.305-2008","https://protect.gost.ru/gost/details/cbeccb9a-67df-45fa-9c67-c391a43bbbc9","Действует","2026-06-11T17:28:34.8388372Z","0","False","The operation has timed out."
"ГОСТ 2.307-2011","https://protect.gost.ru/gost/details/62de9da6-e1a7-4023-955e-7dd9777eaab6","Действует","2026-06-11T17:29:20.6154233Z","0","False","The operation has timed out."
