Code,Title,SourceUrl,Status,Scope,Keywords,VerifiedAt
ГОСТ Р 2.001-2023,ЕСКД. Общие положения,https://protect.gost.ru/gost/details/edfb5cc2-2d7a-4024-ab8d-233b0aeed47b,Действует,Назначение область распространения классификация и применение стандартов ЕСКД,ЕСКД конструкторская документация классификация,2026-06-11
ГОСТ Р 2.104-2023,ЕСКД. Основные надписи,https://protect.gost.ru/gost/details/69d422a2-3c0e-4561-a521-0c99f9cf4417,Действует,Требования к основной надписи и дополнительным графам конструкторских документов,основная надпись реквизиты графы,2026-06-11
ГОСТ 2.301-68,ЕСКД. Форматы,https://protect.gost.ru/gost/details/aa681f87-ff49-4115-ad25-169e15d2af06,Действует,Форматы листов чертежей и других конструкторских документов,форматы листы чертежи документы,2026-06-11
ГОСТ 2.302-68,ЕСКД. Масштабы,https://protect.gost.ru/gost/details/b8e1f82a-8ad2-4133-8c49-2570711b7e22,Действует,Масштабы изображений и их обозначение на чертежах,масштабы изображения обозначения,2026-06-11
ГОСТ 2.303-68,ЕСКД. Линии,https://protect.gost.ru/gost/details/09645eb7-ee23-467a-a319-25b3112a7227,Действует,Начертания и основные назначения линий на чертежах,линии начертание толщина чертежи,2026-06-11
ГОСТ 2.304-81,ЕСКД. Шрифты чертежные,https://protect.gost.ru/gost/details/2acb3258-c28c-4e4a-b7ac-208043f2d95e,Действует,Чертежные шрифты для чертежей и технических документов,шрифты надписи чертежи,2026-06-11
ГОСТ 2.305-2008,ЕСКД. Изображения — виды разрезы сечения,https://protect.gost.ru/gost/details/cbeccb9a-67df-45fa-9c67-c391a43bbbc9,Действует,Правила изображения предметов на чертежах и электронных моделях,виды разрезы сечения выносные элементы,2026-06-11
ГОСТ 2.307-2011,ЕСКД. Нанесение размеров и предельных отклонений,https://protect.gost.ru/gost/details/62de9da6-e1a7-4023-955e-7dd9777eaab6,Действует,Правила нанесения размеров и предельных отклонений в графических документах,размеры предельные отклонения размерные линии,2026-06-11
